xgaus,ygaus
15.4500000000005,1.7035492059199283e-09
15.500000000000504,1.5070493089054226e-09
15.550000000000509,1.3327213173395167e-09
15.600000000000506,1.178122171810589e-09
15.650000000000503,1.0410711624345704e-09
15.700000000000507,9.196225386828246e-10
15.750000000000512,8.120408912613548e-10
15.800000000000509,7.167790350790583e-10
15.850000000000506,6.324581478039478e-10
15.90000000000051,5.578499416817531e-10
15.950000000000514,4.918606673754791e-10
16.00000000000051,4.3351676775644077e-10
16.05000000000051,3.819520170012718e-10
16.100000000000513,3.3639599617687793e-10
16.150000000000517,2.961637708649806e-10
16.200000000000514,2.606466494178054e-10
16.25000000000051,2.2930391226346678e-10
16.300000000000516,2.016554134011316e-10
16.35000000000052,1.772749649405225e-10
16.400000000000517,1.5578442433806148e-10
16.450000000000514,1.3684841194536602e-10
16.50000000000052,1.201695936905237e-10
16.550000000000523,1.0548447022747972e-10
16.60000000000052,9.255961977729204e-11
16.650000000000517,8.118834720448362e-11
16.70000000000052,7.118769667478003e-11
16.750000000000526,6.239578957528444e-11
16.800000000000523,5.4669453288271046e-11
16.85000000000052,4.7882109935223225e-11
16.900000000000524,4.1921897384708654e-11
16.95000000000053,3.668999767930166e-11
17.000000000000526,3.20991506130316e-11
17.050000000000523,2.8072332509148374e-11
17.100000000000527,2.4541582333099505e-11
17.15000000000053,2.1446959150118366e-11
